min_cluster_size,min_samples,umap_n_components,NMI,embedding
91,133,4,0.009170508283190989,fasttext
103,125,4,0.009170508283190989,fasttext
115,102,4,0.25601581375846444,fasttext
82,114,16,0.25191238887404827,fasttext
122,127,4,0.009170508283190989,fasttext
108,117,4,0.009170508283190989,fasttext
99,113,4,0.25678155876373926,fasttext
137,123,4,0.009170508283190989,fasttext
107,109,4,0.25678155876373926,fasttext
111,116,4,0.25755541927352565,fasttext
118,143,4,0.009170508283190989,fasttext
94,101,4,0.25601581375846444,fasttext
88,132,2,0.008509468744222776,fasttext
102,193,8,0.008696284674347453,fasttext
71,119,4,0.009170508283190989,fasttext
111,5,4,0.2517409899839278,fasttext
125,116,4,0.25755541927352565,fasttext
113,109,4,0.25678155876373926,fasttext
104,121,4,0.009170508283190989,fasttext
134,114,4,0.25755541927352565,fasttext
117,127,4,0.009170508283190989,fasttext
96,90,16,0.2519123888740483,fasttext
107,102,4,0.25601581375846444,fasttext
100,138,4,0.009170508283190989,fasttext
123,107,4,0.25695394834558544,fasttext
126,115,4,0.25755541927352565,fasttext
132,120,4,0.009170508283190989,fasttext
