n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.6351650150889552,16,0.0,tfidf
4,0.9926684071478086,4,0.0,tfidf
4,0.1154322611298208,16,0.0,tfidf
4,0.23954365722147053,2,0.0,tfidf
4,0.06507469292601903,16,0.0,tfidf
4,0.034828791493801706,16,0.0,tfidf
4,0.147726172783579,16,0.0,tfidf
4,0.030984256556511332,16,0.0,tfidf
4,0.12858566893003304,4,0.0,tfidf
4,0.060575022037970494,16,0.0,tfidf
4,0.058992485479440235,8,0.0,tfidf
4,0.14945194829098443,16,0.0,tfidf
4,0.18941752602604392,4,0.0,tfidf
4,0.11539887553668556,16,0.0,tfidf
4,0.8272391776827165,2,0.0,tfidf
4,0.9135930552382527,2,0.0,tfidf
4,0.7617208694791222,2,0.0,tfidf
4,0.8059306338036576,2,0.0,tfidf
4,0.8519004464981169,8,0.0,tfidf
4,0.28786415308986324,4,0.0,tfidf
4,0.6027375242351252,16,0.0,tfidf
4,0.7879555186759686,2,0.0,tfidf
4,0.3272314170945457,8,0.0,tfidf
4,0.39804976452640095,16,0.0,tfidf
4,0.25345330239686387,16,0.0,tfidf
4,0.4933482696673854,16,0.0,tfidf
4,0.5773581655692345,16,0.0,tfidf
4,0.3317964510588183,16,0.0,tfidf
4,0.5337251776786913,4,0.0,tfidf
4,0.7355931770992101,2,0.0,tfidf
4,0.3999526688484484,8,0.0,tfidf
4,0.4518681859595336,16,0.0,tfidf
4,0.20746170605751776,2,0.0,tfidf
4,0.09899189106810105,4,0.0,tfidf
4,0.018080127453127093,16,0.0,tfidf
4,0.6521705336869548,16,0.0,tfidf
4,0.6960135782837169,16,0.0,tfidf
4,0.43066579583565257,16,0.0,tfidf
4,0.49052372945528133,16,0.0,tfidf
4,0.556176695530486,8,0.0,tfidf
4,0.31050197803551166,16,0.0,tfidf
4,0.35807809917315425,2,0.0,tfidf
4,0.5268033503964014,4,0.0,tfidf
4,0.5885531419653682,16,0.0,tfidf
4,0.5695271577523648,8,0.0,tfidf
4,0.6233538316535061,8,0.0,tfidf
4,0.5041533358631274,8,0.0,tfidf
4,0.47044264178665285,8,0.0,tfidf
4,0.08189484232489684,8,0.0,tfidf
4,0.043253276342321956,2,0.0,tfidf
4,0.6494535142228829,16,0.0,tfidf
4,0.43622815277781785,4,0.0,tfidf
